,log_loss,no_predictor,no_pca
0,0.6720237389924232,10,3
1,0.647526612044877,10,4
2,0.6173454993851006,10,5
3,0.5990250585254514,10,6
4,0.576609094747899,10,7
5,0.5757639104907711,10,8
6,0.5679431248621042,10,9
7,0.6515169641986287,11,3
8,0.6259870002020526,11,4
9,0.605108570924044,11,5
10,0.6055953635861757,11,6
11,0.5947551189553948,11,7
12,0.5923453613593967,11,8
13,0.5884320045806498,11,9
14,0.5348348081790738,11,10
15,0.6253590352251167,12,3
16,0.629006823075453,12,4
17,0.6056481378176022,12,5
18,0.5926171387096829,12,6
19,0.5693147921376208,12,7
20,0.5585263809291444,12,8
21,0.5628889244254928,12,9
22,0.5591913965934591,12,10
23,0.5254572615497013,12,11
24,0.6550320469010151,13,3
25,0.648768455717669,13,4
26,0.6480656469235718,13,5
27,0.6480317511816883,13,6
28,0.6289380296251709,13,7
29,0.5984024558290048,13,8
30,0.5968853873470289,13,9
31,0.6034484854697523,13,10
32,0.557061112386547,13,11
33,0.5610568183871224,13,12
34,0.662612425618753,14,3
35,0.6255633023037099,14,4
36,0.6411256966300312,14,5
37,0.6395415979020604,14,6
38,0.6411822196690732,14,7
39,0.5830119398686159,14,8
40,0.5836073641284255,14,9
41,0.5759359035835404,14,10
42,0.526454052215812,14,11
43,0.525464607395639,14,12
44,0.524546032888583,14,13
45,0.655474045676732,15,3
46,0.6337674450226367,15,4
47,0.5808415173449053,15,5
48,0.5805367020807427,15,6
49,0.5796112703563808,15,7
50,0.5089188297243752,15,8
51,0.5090119116477011,15,9
52,0.5086537326928006,15,10
53,0.5065195615966088,15,11
54,0.506165170960222,15,12
55,0.5061751383465992,15,13
56,0.4984501855066069,15,14
57,0.6344428047490406,16,3
58,0.5847682742888798,16,4
59,0.5730867742053801,16,5
60,0.574072226081652,16,6
61,0.5977199413615557,16,7
62,0.5659469983584063,16,8
63,0.5681363587313771,16,9
64,0.5716703366303286,16,10
65,0.579080365100461,16,11
66,0.571369365745368,16,12
67,0.5591944207862726,16,13
68,0.5607307954427582,16,14
69,0.5605497254384932,16,15
70,0.6810321477191488,17,3
71,0.5510074117057084,17,4
72,0.558488127599764,17,5
73,0.5649420042391016,17,6
74,0.5690890306835092,17,7
75,0.4886459333177283,17,8
76,0.48855446822530596,17,9
77,0.4909875901806786,17,10
78,0.48410997442802706,17,11
79,0.48210891815372814,17,12
80,0.4708033942454091,17,13
81,0.4703684115416912,17,14
82,0.4793160662568735,17,15
83,0.48007522092746596,17,16
84,0.6513312509352536,18,3
85,0.6237018448223116,18,4
86,0.6289963321817043,18,5
87,0.6332673207990452,18,6
88,0.6235998854335437,18,7
89,0.57970051227212,18,8
90,0.5771223006730033,18,9
91,0.5751393167853708,18,10
92,0.5764341957465319,18,11
93,0.5738312755592406,18,12
94,0.5801175158835016,18,13
95,0.575694756702203,18,14
96,0.5762514122442429,18,15
97,0.5696956903643884,18,16
98,0.5690410514492897,18,17
99,0.6132890358032227,19,3
100,0.6133830319645173,19,4
101,0.6134209328832949,19,5
102,0.5076862092813401,19,6
103,0.5137205041113768,19,7
104,0.5128030813155375,19,8
105,0.48821592930580004,19,9
106,0.4839538033549399,19,10
107,0.4853286561245659,19,11
108,0.4848838912504157,19,12
109,0.47698461900405653,19,13
110,0.4749107961268834,19,14
111,0.46485799267567385,19,15
112,0.4680466702199863,19,16
113,0.4677553812431846,19,17
114,0.4677367298452701,19,18
115,0.64205562177764,20,3
116,0.6380042139458855,20,4
117,0.6034874432865251,20,5
118,0.5982572978798489,20,6
119,0.5984711913800213,20,7
120,0.5982509399028226,20,8
121,0.575653897590077,20,9
122,0.5766459812852959,20,10
123,0.5705614770619167,20,11
124,0.5710612394654905,20,12
125,0.5699648963424911,20,13
126,0.5669135716792494,20,14
127,0.5647229274022502,20,15
128,0.5646479422092798,20,16
129,0.5475041715756084,20,17
130,0.5470582391250913,20,18
131,0.5470345621964359,20,19
132,0.6743068177802248,21,3
133,0.6742595265342056,21,4
134,0.6594587698888897,21,5
135,0.6873809839175085,21,6
136,0.6887007157725439,21,7
137,0.6887339906233473,21,8
138,0.6010164784201236,21,9
139,0.6019929680676005,21,10
140,0.5883112077776435,21,11
141,0.5868504535757509,21,12
142,0.5817082949488657,21,13
143,0.5818599691740222,21,14
144,0.5864658662021032,21,15
145,0.5879433854950213,21,16
146,0.5955627860563509,21,17
147,0.5933720357380488,21,18
148,0.5921400835061899,21,19
149,0.5922502177120385,21,20
150,0.6115170751899196,22,3
151,0.6133958877985062,22,4
152,0.633790564211554,22,5
153,0.6246315941283975,22,6
154,0.6330394017826659,22,7
155,0.6230912156225434,22,8
156,0.6035414343946366,22,9
157,0.6039166317852134,22,10
158,0.6144639960956936,22,11
159,0.6159707161526824,22,12
160,0.6125314739192331,22,13
161,0.6141663844090706,22,14
162,0.5781715601558802,22,15
163,0.5783654463835164,22,16
164,0.5786596799199666,22,17
165,0.5783180193933768,22,18
166,0.578363488451196,22,19
167,0.578353704779988,22,20
168,0.5783525405796606,22,21
169,0.6754753431175265,23,3
170,0.6713456051367843,23,4
171,0.6206317345591985,23,5
172,0.6023819959212569,23,6
173,0.5747462650256977,23,7
174,0.579389618683403,23,8
175,0.5984044748545373,23,9
176,0.5997539144241835,23,10
177,0.5998550509979387,23,11
178,0.5986210522213499,23,12
179,0.592815739028085,23,13
180,0.5884469592046604,23,14
181,0.5884449312887821,23,15
182,0.5655232591898844,23,16
183,0.5667038842719148,23,17
184,0.5718368598980793,23,18
185,0.5753969557944772,23,19
186,0.5745543182457388,23,20
187,0.5747266765868586,23,21
188,0.5746932159762168,23,22
189,0.625024546572546,24,3
190,0.6330647392391648,24,4
191,0.6035938624842677,24,5
192,0.6196479219546113,24,6
193,0.6100322322600824,24,7
194,0.6168495266346072,24,8
195,0.5862008155686834,24,9
196,0.5895728971781506,24,10
197,0.5917269472034762,24,11
198,0.5908881272331609,24,12
199,0.5879813898815202,24,13
200,0.5893075647858615,24,14
201,0.5979763210296491,24,15
202,0.6030089485058944,24,16
203,0.5889456894377331,24,17
204,0.5888614794433169,24,18
205,0.590933368242365,24,19
206,0.5937958963956702,24,20
207,0.5945835042747145,24,21
208,0.5934064599374183,24,22
209,0.5934311206638635,24,23
210,0.6618106868364151,25,3
211,0.6485266366087578,25,4
212,0.6473620151674104,25,5
213,0.6423184525470359,25,6
214,0.6412956550046796,25,7
215,0.6290777522695062,25,8
216,0.6312754610776687,25,9
217,0.5663712862146406,25,10
218,0.5539325485227576,25,11
219,0.554353194575016,25,12
220,0.5486315169602294,25,13
221,0.5519596315471242,25,14
222,0.5527634850247862,25,15
223,0.5548408939124883,25,16
224,0.5583555876060131,25,17
225,0.531991664414341,25,18
226,0.534801622776559,25,19
227,0.5343321791975241,25,20
228,0.5342469951190284,25,21
229,0.5342465593266211,25,22
230,0.5342455469653457,25,23
231,0.5342454775798766,25,24
232,0.5819100774007133,26,3
233,0.5885265931607825,26,4
234,0.5838124679888015,26,5
235,0.5686049683976219,26,6
236,0.5613093254050369,26,7
237,0.569538954432134,26,8
238,0.5756804726693532,26,9
239,0.5337644568751981,26,10
240,0.5398643363146525,26,11
241,0.54024400102613,26,12
242,0.5308778439414429,26,13
243,0.538732192786867,26,14
244,0.5353939484591085,26,15
245,0.535226788525399,26,16
246,0.537125966698178,26,17
247,0.5144297697600929,26,18
248,0.5192682224068176,26,19
249,0.5192513802430231,26,20
250,0.5187735315769373,26,21
251,0.5186193996300389,26,22
252,0.518616539402251,26,23
253,0.5186096388007839,26,24
254,0.5186097106020786,26,25
255,0.5951522245560479,27,3
256,0.5938385330328038,27,4
257,0.5937246154912712,27,5
258,0.5625041474364294,27,6
259,0.5656802990010883,27,7
260,0.5679565621912295,27,8
261,0.5569121106553597,27,9
262,0.557714213257428,27,10
263,0.5504622464791551,27,11
264,0.5501667995438044,27,12
265,0.5510356284972963,27,13
266,0.5530693770041134,27,14
267,0.553141229791509,27,15
268,0.5510766903486012,27,16
269,0.5548475172447617,27,17
270,0.561151068812949,27,18
271,0.5630797477280366,27,19
272,0.5602147081165392,27,20
273,0.559833068599513,27,21
274,0.5590072167070655,27,22
275,0.5589453675759323,27,23
276,0.5589419186633678,27,24
277,0.5589255472457955,27,25
278,0.5589272574320996,27,26
279,0.6449372141259071,28,3
280,0.6580425554343962,28,4
281,0.6272896919009369,28,5
282,0.6167674528562257,28,6
283,0.6134003569538171,28,7
284,0.6195664450717565,28,8
285,0.645516273256395,28,9
286,0.6350368395611403,28,10
287,0.6361459736482896,28,11
288,0.6345166126710954,28,12
289,0.63088292131075,28,13
290,0.6257849756292934,28,14
291,0.6264053125735154,28,15
292,0.6099120239564381,28,16
293,0.6116382266114506,28,17
294,0.6143464122925663,28,18
295,0.6081522576866036,28,19
296,0.6063649027422955,28,20
297,0.5929734796582318,28,21
298,0.5921064987606256,28,22
299,0.5941504372451797,28,23
300,0.594152446133903,28,24
301,0.5941483966791639,28,25
302,0.5941484408221118,28,26
303,0.5941484145925409,28,27
304,0.6375408844293442,29,3
305,0.6446975129406964,29,4
306,0.5849512359886183,29,5
307,0.5724477371965612,29,6
308,0.5679651286764412,29,7
309,0.5693295147498907,29,8
310,0.5689286953645919,29,9
311,0.5575723049383646,29,10
312,0.5588500228706239,29,11
313,0.5568479225564191,29,12
314,0.5567831671597863,29,13
315,0.5583440380636286,29,14
316,0.5592728889964746,29,15
317,0.5606352297432923,29,16
318,0.5575650810324176,29,17
319,0.5582513056927031,29,18
